phase,treatment,outcome,variable,coef,se,pval
Phase 1 - Full,treatment_other food,avg_daily_expenditure,income_bracket_3.0,128.6593510529443,46.3608936280113,0.00551971808101444
Phase 1 - Full,treatment_other food,avg_daily_expenditure,income_bracket_4.0,129.53730084976885,45.32891490873264,0.004269068730090065
Phase 1 - Full,treatment_other food,avg_daily_expenditure,income_bracket_5.0,125.08828705041432,46.09111690907851,0.006651625583672599
Phase 1 - Full,treatment_other food,avg_daily_expenditure,income_bracket_6.0,139.5828833324105,46.7184232067004,0.002812026752992975
Phase 1 - Full,treatment_other food,avg_daily_expenditure,income_bracket_7.0,116.82612271889857,50.02780884000539,0.0195364035490964
Phase 1 - Full,treatment_other food,avg_daily_expenditure,income_bracket_8.0,62.330140084832806,58.66967277755577,0.28806424016103166
Phase 1 - Full,treatment_other food,avg_daily_expenditure,income_bracket_9.0,96.20946992921716,60.15836138884418,0.10976808502762798
Phase 1 - Full,treatment_other food,avg_daily_expenditure,income_bracket_10.0,30.270088889241432,102.5496332762095,0.7678616448975939
Phase 1 - Full,treatment_other food,avg_daily_expenditure,income_bracket_11.0,161.17542647788306,69.04673645469605,0.019584968238175644
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t1,(Intercept),48.03485786886077,2.747316124781441,3.3852107993451168e-68
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t1,age_range_18.25,-60.59804930826918,63.50086412230035,0.33994414355967995
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t1,age_range_26.35,-69.58670470812307,58.09654104549509,0.23101090336495586
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t1,age_range_36.45,-51.11346778974048,55.5579522002461,0.35757687173997166
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t1,age_range_46.55,-71.09991395779312,58.281104539291746,0.22249178940450265
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t1,age_range_56.70,-66.63505176157493,59.27193588884548,0.2609238962082999
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t1,age_range_70.,-53.6241646665037,59.445324817080795,0.36702224392833216
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t1,family_size_1,6.754112794819304,25.834457412399242,0.7937559831011722
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t1,family_size_2,-1.6066239165061904,27.786995006923366,0.9538928727172695
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t1,family_size_3,-31.292937361525947,31.363505823355197,0.31840663683689374
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t1,family_size_4,-30.83253201470695,29.378981993299476,0.29396549729422344
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t1,income_bracket_1.0,86.68130597430984,60.719411751187714,0.1534230066987176
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t1,income_bracket_2.0,112.40556230617354,52.84439812069173,0.03341748559775439
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t1,income_bracket_3.0,117.17881378985227,52.957053329662656,0.026922986112271396
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t1,income_bracket_4.0,115.38400518864026,52.645763739223554,0.02840652071159762
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t1,income_bracket_5.0,101.75204366682682,52.486431460438894,0.052552789093950086
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t1,income_bracket_6.0,112.45888449852546,53.55980414777161,0.03576252422652077
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t1,income_bracket_7.0,109.87431879636152,54.038274711048174,0.04203198799398596
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t1,income_bracket_8.0,119.25683255984164,73.20682193830304,0.10331243974398938
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t1,income_bracket_9.0,60.17908520066399,58.972159670216264,0.3075136585511494
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t1,income_bracket_10.0,30.77175456049561,82.22684076361196,0.7082351512653458
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t1,income_bracket_11.0,98.57165251207277,74.38222594301614,0.18511092742744598
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t2,(Intercept),14.507887237742006,2.8926824087083,5.315414346414239e-07
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t2,age_range_18.25,-81.72742575523364,61.175410193785005,0.18157241855536946
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t2,age_range_26.35,-76.9466822051022,56.26505711516379,0.17145277831879951
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t2,age_range_36.45,-74.13050618240922,54.898997362188155,0.17692506464356503
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t2,age_range_46.55,-78.08897170939274,56.11396952517478,0.16404706013595174
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t2,age_range_56.70,-66.41709443920175,57.44582446572541,0.24761878700015763
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t2,age_range_70.,-62.72888527882301,57.66259528230074,0.27666299564659846
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t2,family_size_1,-2.6920714875089793,27.63070177839371,0.9223850542047116
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t2,family_size_2,3.7846770425296823,28.19969275669884,0.8932372920544975
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t2,family_size_3,-3.863143735230371,31.826658642780846,0.9033900665991386
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t2,family_size_4,-23.856898233187696,33.57326316413411,0.4773410962137724
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t2,income_bracket_1.0,129.97505414776197,52.921676479458846,0.014053928494534856
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t2,income_bracket_2.0,114.98440558987393,50.84107878665494,0.02372472202556087
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t2,income_bracket_3.0,127.80840931984154,50.72008342246689,0.011743385722847185
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t2,income_bracket_4.0,122.48458096212691,50.79714511579454,0.015902413215842227
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t2,income_bracket_5.0,117.33710491319457,50.406912632252656,0.0199277541729449
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t2,income_bracket_6.0,123.34720922410393,51.94047739574758,0.017564055781399076
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t2,income_bracket_7.0,106.5502326667653,53.08663344177173,0.04474556878318966
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t2,income_bracket_8.0,67.91014088214143,61.0481703179088,0.2659717294330758
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t2,income_bracket_9.0,52.03221457572389,59.17788524621778,0.3792704332093142
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t2,income_bracket_10.0,33.09874686267639,93.3050249735187,0.7227884646100853
Phase 1 - Full,treatment_other food,avg_daily_expenditure_t2,income_bracket_11.0,134.3852577609426,78.24684333471596,0.08590414699052143
Phase 1 - Full,treatment_other non-food products,avg_daily_expenditure,(Intercept),-64.10838526593372,3.1520469288254205,1.3278360527767265e-91
Phase 1 - Full,treatment_other non-food products,avg_daily_expenditure,age_range_18.25,-48.9389738402913,72.49205220156506,0.49961882307955985
Phase 1 - Full,treatment_other non-food products,avg_daily_expenditure,age_range_26.35,-89.22962218258671,66.73439305424792,0.1812003972258089
Phase 1 - Full,treatment_other non-food products,avg_daily_expenditure,age_range_36.45,-28.92472056793837,65.01685496811979,0.656408075905929
Phase 1 - Full,treatment_other non-food products,avg_daily_expenditure,age_range_46.55,-58.11710756562232,66.08366673401304,0.3791628017153197
Phase 1 - Full,treatment_other non-food products,avg_daily_expenditure,age_range_56.70,25.52525729939611,71.08658653975071,0.7195421067496062
Phase 1 - Full,treatment_other non-food products,avg_daily_expenditure,age_range_70.,-14.308662075694805,68.62239327801048,0.834829235756463
Phase 1 - Full,treatment_other non-food products,avg_daily_expenditure,family_size_1,36.98205855392954,30.31102829076135,0.22243782272486415
Phase 1 - Full,treatment_other non-food products,avg_daily_expenditure,family_size_2,29.655586877173253,29.453642284443937,0.31400847745149607
Phase 1 - Full,treatment_other non-food products,avg_daily_expenditure,family_size_3,5.990680986791805,32.592816881947854,0.8541681519061232
Phase 1 - Full,treatment_other non-food products,avg_daily_expenditure,family_size_4,-21.43043438819342,39.04575101527904,0.5831076845486424
Phase 1 - Full,treatment_other non-food products,avg_daily_expenditure,income_bracket_1.0,54.94825734834829,63.94557712480409,0.39018049879271954
